iter	Logloss
0	0.6521245008
1	0.6142992414
2	0.5831182469
3	0.5536869838
4	0.5247584082
5	0.5035888842
6	0.4773406556
7	0.4551907332
8	0.4356301164
9	0.4200409618
10	0.4042572789
11	0.3875608391
12	0.3751022936
13	0.3631248687
14	0.3505833375
15	0.3393642063
16	0.3314724928
17	0.3230509838
18	0.3148524748
19	0.3073594504
20	0.3001064961
21	0.2933862782
22	0.286477009
23	0.2809181
24	0.2773371862
25	0.2718798462
26	0.2682387709
27	0.2635096118
28	0.2590568372
29	0.2559045547
30	0.2520031636
31	0.2487305796
32	0.2457369586
33	0.242594671
34	0.2399796427
35	0.2369762826
36	0.2344267435
37	0.231979839
38	0.2300989375
39	0.2272063314
40	0.2252229659
41	0.2229901958
42	0.2207122036
43	0.2187997402
44	0.2165347264
45	0.2145379349
46	0.2128169949
47	0.2113095715
48	0.2096609403
49	0.2080472595
50	0.2064432752
51	0.2050735218
52	0.204163855
53	0.2028707366
54	0.201659794
55	0.200258223
56	0.1993070208
57	0.1977961023
58	0.1965442636
59	0.1952709432
60	0.1939789969
61	0.1930220407
62	0.1919913692
63	0.1908977231
64	0.1901565211
65	0.188986368
66	0.1880889338
67	0.1873893312
68	0.1865222015
69	0.1853632581
70	0.1841138275
71	0.1834103036
72	0.1825838995
73	0.1818375827
74	0.1809312618
75	0.1802855976
76	0.1795670493
77	0.178693441
78	0.1779092544
79	0.1772997126
80	0.1765690596
81	0.1759053662
82	0.1752295681
83	0.1746528562
84	0.1740950579
85	0.1736644873
86	0.1731474253
87	0.1726643227
88	0.1721353371
89	0.171532551
90	0.1711391151
91	0.1706415421
92	0.170197034
93	0.1696204713
94	0.1690902177
95	0.1685625854
96	0.1681351582
97	0.1676312878
98	0.1670170043
99	0.1666260085
100	0.1659002357
101	0.1653535513
102	0.1649518359
103	0.1644661973
104	0.1639568712
105	0.1635295932
106	0.1630836892
107	0.1624973659
108	0.1621904
109	0.1615999744
110	0.1611679546
111	0.1608878834
112	0.1605880034
113	0.1600622678
114	0.1598307647
115	0.1594871223
116	0.1591103197
117	0.1586957111
118	0.1583568637
119	0.1579870618
120	0.1576040897
121	0.1571972703
122	0.1568511025
123	0.1564830375
124	0.1562108727
125	0.1558842366
126	0.1556025031
127	0.1553826998
128	0.1550607948
129	0.1547969839
130	0.1544974769
131	0.1540597244
132	0.1537092624
133	0.1534570449
134	0.1532008741
135	0.153055223
136	0.1527270845
137	0.1523953443
138	0.1521339523
139	0.1518906961
140	0.1515230999
141	0.1511713593
142	0.1509041387
143	0.1505952547
144	0.1503159081
145	0.1500037422
146	0.1497451953
147	0.1495356533
148	0.1492680384
149	0.1489739551
150	0.1487327554
151	0.1483608225
152	0.1482007757
153	0.1478740969
154	0.1477313228
155	0.1474650612
156	0.1473477539
157	0.1471282703
158	0.1466727017
159	0.1464010697
160	0.1462123274
161	0.145969604
162	0.1456943064
163	0.1454745032
164	0.1451229117
165	0.1449933505
166	0.1448239801
167	0.1445886516
168	0.1444155304
169	0.1441063055
170	0.1438934284
171	0.1436394633
172	0.1433320072
173	0.1431448846
174	0.1429644004
175	0.1428326442
176	0.1426390216
177	0.1423998572
178	0.1422313711
179	0.1418330763
180	0.1416936906
181	0.1415642147
182	0.1413923935
183	0.1412562045
184	0.1411250024
185	0.1406728435
186	0.140398164
187	0.140270702
188	0.1400833023
189	0.139981126
190	0.1398535148
191	0.1396669889
192	0.1395753402
193	0.1393706466
194	0.1391185142
195	0.1389626018
196	0.1387574393
197	0.1384148944
198	0.1382154752
199	0.138095877
200	0.1379488087
201	0.1378049904
202	0.1376213202
203	0.1375056965
204	0.137366801
205	0.137278754
206	0.1371732424
207	0.136999727
208	0.1367974201
209	0.1364737463
210	0.1362870712
211	0.13610176
212	0.1359570679
213	0.1357588954
214	0.1355696311
215	0.1352663307
216	0.1349042328
217	0.13463909
218	0.1344644983
219	0.134198908
220	0.1340678977
221	0.1338255152
222	0.1335408728
223	0.1334173639
224	0.1333081762
225	0.1331448262
226	0.1329807836
227	0.1328755064
228	0.1327008722
229	0.1325579169
230	0.1323153746
231	0.1322528903
232	0.1321477517
233	0.1320315739
234	0.1319175912
235	0.1315908592
236	0.1314602644
237	0.1312184893
238	0.1311042828
239	0.1309930386
240	0.1308642339
241	0.1307267344
242	0.1306115689
243	0.1304465139
244	0.1302470415
245	0.1301442152
246	0.130084821
247	0.1299174218
248	0.1298351608
249	0.1297220198
250	0.1294936175
251	0.1292928344
252	0.1292120438
253	0.1290654763
254	0.1289021263
255	0.1287299321
256	0.1284758072
257	0.1282711668
258	0.1281593365
259	0.1280016766
260	0.1276715241
261	0.127545149
262	0.1273534444
263	0.1270864369
264	0.1267887627
265	0.1266155669
266	0.1264013685
267	0.1261411912
268	0.1259862378
269	0.1258457013
270	0.1256040115
271	0.1254005858
272	0.1253589438
273	0.1250029836
274	0.124879869
275	0.1247169878
276	0.1245735424
277	0.1244777701
278	0.1242310295
279	0.1240660918
280	0.1238594481
281	0.1238127128
282	0.123274329
283	0.1231387367
284	0.1230814524
285	0.1229963249
286	0.1229270317
287	0.1227908427
288	0.1226667905
289	0.1225688444
290	0.1223565214
291	0.1222330019
292	0.1221655094
293	0.1219401439
294	0.1218663221
295	0.1217121891
296	0.1216248241
297	0.1215357008
298	0.1212290013
299	0.1210925353
300	0.1209055405
301	0.1207500117
302	0.1205681742
303	0.1205507417
304	0.1204019046
305	0.1202372546
306	0.1200326461
307	0.119878982
308	0.1198413146
309	0.1197472897
310	0.119584302
311	0.1193718191
312	0.1189522024
313	0.1188346607
314	0.1186387046
315	0.1185247645
316	0.118371516
317	0.118201357
318	0.1180506232
319	0.1178083367
320	0.1176631331
321	0.1175107263
322	0.1173596622
323	0.1173336626
324	0.1171304287
325	0.1170078682
326	0.116896283
327	0.1167220217
328	0.1165721297
329	0.116353605
330	0.116219089
331	0.1161888698
332	0.1160366655
333	0.1159213508
334	0.1157795357
335	0.11560244
336	0.1154306081
337	0.1154043315
338	0.1152377422
339	0.1151873839
340	0.1151152243
341	0.1150774716
342	0.114820832
343	0.1146909618
344	0.1146349561
345	0.1145293167
346	0.1144488883
347	0.1143354704
348	0.1143125822
349	0.1142165754
350	0.1140768168
351	0.1139498236
352	0.1139355878
353	0.1138272312
354	0.113724927
355	0.1136259154
356	0.1135821635
357	0.1134687456
358	0.1133541128
359	0.1132215468
360	0.1128854911
361	0.1128629333
362	0.1127678642
363	0.1127490038
364	0.1127148847
365	0.1125934324
366	0.1124244562
367	0.1123750783
368	0.1122202101
369	0.1121653978
370	0.1120443184
371	0.1120233376
372	0.1119024927
373	0.1117780249
374	0.1116931105
375	0.1115694419
376	0.1113729637
377	0.111307613
378	0.1112521827
379	0.1108826472
380	0.1107784463
381	0.1105879246
382	0.1104725246
383	0.1103776154
384	0.1101922616
385	0.1100480703
386	0.1099380301
387	0.1098442717
388	0.1096632121
389	0.1095996196
390	0.1095205232
391	0.1093336244
392	0.1091633802
393	0.1089552341
394	0.1088588224
395	0.1087426127
396	0.1086256144
397	0.1085829495
398	0.1085748406
399	0.1084647152
400	0.1083243599
401	0.1082754934
402	0.108233617
403	0.1081713032
404	0.1080440543
405	0.1079829978
406	0.1078991703
407	0.107882814
408	0.1078416835
409	0.107767883
410	0.1076606132
411	0.1072951695
412	0.1071998873
413	0.1070926815
414	0.1068791011
415	0.106804544
416	0.1066516578
417	0.1065787736
418	0.106364458
419	0.1062848928
420	0.1062681742
421	0.1062046882
422	0.10614913
423	0.1060360743
424	0.1058372839
425	0.1058306881
426	0.1056363623
427	0.1056242575
428	0.1055524709
429	0.1052565441
430	0.1051684651
431	0.1050192764
432	0.1048236826
433	0.1046910419
434	0.104637828
435	0.1045570587
436	0.104502566
437	0.1044005708
438	0.104231552
439	0.1041307076
440	0.1039630421
441	0.1039534414
442	0.1038448185
443	0.1037626213
444	0.1036781119
445	0.1035186938
446	0.1033842097
447	0.1033734583
448	0.1033608847
449	0.1033002331
450	0.1032391553
451	0.1031420297
452	0.1029646037
453	0.1029093758
454	0.1028326663
455	0.1026723425
456	0.1024874895
457	0.1024304608
458	0.1023263558
459	0.102304075
460	0.102228772
461	0.1020504829
462	0.1019398993
463	0.1018489752
464	0.1017314762
465	0.1015511198
466	0.1014325552
467	0.1012432269
468	0.1011599962
469	0.1010922693
470	0.100982975
471	0.1007699807
472	0.1007028505
473	0.1006208665
474	0.1005053174
475	0.100444506
476	0.1002624448
477	0.1000750664
478	0.09991169509
479	0.09979606074
480	0.09974448774
481	0.0996745019
482	0.09959571455
483	0.09944085702
484	0.09929298955
485	0.09922300371
486	0.09921179404
487	0.0991201454
488	0.09908615411
489	0.0989916924
490	0.09894659799
491	0.09862523638
492	0.09852018303
493	0.09842782047
494	0.09832467447
495	0.09803189112
496	0.09774275199
497	0.09765601558
498	0.09754412134
499	0.09746664463
500	0.09735216109
501	0.09715825086
502	0.09712302352
503	0.09706166869
504	0.09695110641
505	0.09680148077
506	0.09668238336
507	0.09657534807
508	0.09649258619
509	0.09636479383
510	0.09619611602
511	0.09612086632
512	0.0959862757
513	0.09593472401
514	0.09588304445
515	0.0957672929
516	0.09563853088
517	0.09556835324
518	0.09544777471
519	0.09537001029
520	0.09531881023
521	0.09520215296
522	0.09514481529
523	0.09510971581
524	0.09504448235
525	0.09487891597
526	0.09470548576
527	0.09469634328
528	0.09468809586
529	0.09456005842
530	0.09445126496
531	0.09440988935
532	0.09415488003
533	0.09409630632
534	0.09389442572
535	0.0938193252
536	0.09376987265
537	0.09359518509
538	0.09350059552
539	0.09343339078
540	0.09334733633
541	0.09321292685
542	0.09311974382
543	0.09303411558
544	0.09292513032
545	0.09278200459
546	0.09271725063
547	0.09265083441
548	0.09254302126
549	0.09244812267
550	0.09239271366
551	0.09210613187
552	0.09195617591
553	0.09184497428
554	0.09174391677
555	0.09156249489
556	0.09146265211
557	0.0913594848
558	0.09128994649
559	0.0912506274
560	0.09116447704
561	0.09111304257
562	0.09107441609
563	0.09094086972
564	0.0908780018
565	0.09069076197
566	0.09063255054
567	0.09052984142
568	0.09047865202
569	0.09033937294
570	0.09027668617
571	0.09026874777
572	0.09026334539
573	0.09015667239
574	0.0901322498
575	0.09007024499
576	0.08997044483
577	0.08982647731
578	0.0896165624
579	0.08945979752
580	0.08936851651
581	0.08929421515
582	0.08913729044
583	0.08907425737
584	0.08901070217
585	0.08897330641
586	0.08893111032
587	0.08890042758
588	0.08877107951
589	0.08872668304
590	0.08864862559
591	0.08847412983
