iter	Passed	Remaining
399	55714	73404
400	55873	73290
401	56029	73172
402	56171	73037
403	56308	72894
404	56417	72715
405	56526	72537
406	56649	72377
407	56752	72193
408	56890	72052
409	57065	71958
410	57202	71816
411	57328	71661
412	57449	71499
413	57589	71360
414	57708	71196
415	57805	71006
416	57900	70813
417	58013	70642
418	58116	70461
419	58222	70283
420	58333	70110
421	58425	69917
422	58529	69736
423	58633	69557
424	58718	69357
425	58815	69170
426	58909	68980
427	59006	68795
428	59119	68628
429	59229	68458
430	59330	68278
431	59418	68084
432	59507	67891
433	59604	67707
434	59674	67494
435	59769	67308
436	59856	67115
437	59975	66959
438	60122	66833
439	60215	66648
440	60314	66468
441	60405	66282
442	60512	66112
443	60617	65942
444	60710	65758
445	60819	65592
446	60921	65419
447	61007	65228
448	61095	65041
449	61186	64857
450	61277	64674
451	61362	64484
452	61458	64307
453	61559	64135
454	61656	63960
455	61768	63800
456	61855	63615
457	61950	63438
458	62050	63267
459	62140	63086
460	62228	62902
461	62321	62725
462	62424	62559
463	62532	62397
464	62630	62226
465	62729	62056
466	62839	61897
467	62933	61723
468	63024	61546
469	63119	61373
470	63214	61200
471	63295	61016
472	63381	60835
473	63487	60674
474	63600	60520
475	63713	60367
476	63818	60205
477	63930	60051
478	64027	59884
479	64122	59714
480	64225	59551
481	64293	59357
482	64364	59166
483	64453	58993
484	64555	58832
485	64668	58680
486	64752	58503
487	64839	58328
488	64909	58139
489	65019	57986
490	65106	57813
491	65195	57642
492	65265	57454
493	65379	57306
494	65457	57126
495	65539	56950
496	65649	56799
497	65772	56659
498	65887	56512
499	66000	56364
500	66114	56217
501	66198	56044
502	66290	55878
503	66403	55731
504	66526	55592
505	66646	55451
506	66741	55288
507	66821	55114
508	66936	54969
509	67048	54821
510	67130	54649
511	67205	54473
512	67291	54305
513	67401	54157
514	67475	53980
515	67566	53817
516	67667	53662
517	67749	53493
518	67846	53336
519	67937	53173
520	68076	53050
521	68167	52888
522	68284	52747
523	68393	52600
524	68500	52452
525	68593	52292
526	68694	52139
527	68781	51976
528	68893	51832
529	69000	51685
530	69103	51534
531	69258	51423
532	69395	51298
533	69605	51226
534	69760	51114
535	69861	50962
536	69990	50831
537	70157	50727
538	70313	50615
539	70463	50498
540	70573	50354
541	70731	50242
542	70898	50138
543	71046	50019
544	71219	49919
545	71373	49804
546	71499	49670
547	71634	49542
548	71782	49423
549	71928	49303
550	72052	49168
551	72184	49038
552	72323	48913
553	72442	48774
554	72592	48656
555	72727	48528
556	72822	48373
557	72942	48236
558	73093	48118
559	73207	47977
560	73390	47880
561	73545	47765
562	73664	47626
563	73773	47481
564	73925	47364
565	74090	47255
566	74203	47113
567	74321	46974
568	74469	46854
569	74587	46715
570	74709	46579
571	74821	46436
572	74924	46288
573	75031	46143
574	75142	46000
575	75268	45866
576	75414	45745
577	75567	45627
578	75727	45515
579	75898	45408
580	76011	45266
581	76145	45137
582	76291	45016
583	76484	44921
584	76643	44806
585	76791	44685
586	76921	44553
587	77073	44435
588	77217	44311
589	77330	44170
590	77501	44061
591	77649	43940
592	77763	43799
593	77884	43662
594	78029	43538
595	78156	43405
596	78300	43281
597	78419	43143
598	78559	43017
599	78681	42881
600	78795	42741
601	78946	42620
602	79079	42490
603	79214	42361
604	79361	42238
605	79467	42094
606	79619	41974
607	79718	41826
608	79860	41700
609	79955	41550
610	80056	41403
611	80193	41276
612	80335	41150
613	80483	41028
614	80621	40900
615	80746	40766
616	80847	40620
617	80939	40469
618	81040	40323
619	81202	40208
620	81381	40100
621	81490	39959
622	81626	39830
623	81735	39688
624	81866	39557
625	81957	39407
626	82122	39293
627	82278	39174
628	82430	39053
629	82583	38932
630	82723	38805
631	82876	38684
632	83006	38552
633	83168	38435
634	83267	38289
635	83404	38161
636	83545	38034
637	83647	37890
638	83770	37755
639	83910	37628
640	84012	37484
641	84131	37348
642	84298	37232
643	84425	37099
644	84544	36963
645	84662	36827
646	84805	36701
647	84936	36569
648	85104	36454
649	85240	36325
650	85342	36182
651	85467	36048
652	85568	35904
653	85703	35775
654	85808	35633
655	85893	35483
656	85977	35333
657	86051	35179
658	86170	35043
659	86266	34898
660	86354	34750
661	86418	34593
662	86494	34441
663	86568	34288
664	86651	34139
665	86754	33998
666	86868	33861
667	86983	33725
668	87072	33579
669	87182	33441
670	87267	33294
671	87340	33142
672	87418	32992
673	87508	32848
674	87591	32700
675	87681	32556
676	87745	32402
677	87824	32254
678	87897	32104
679	87987	31960
680	88054	31808
681	88119	31655
682	88205	31511
683	88273	31360
684	88362	31217
685	88438	31069
686	88560	30938
687	88663	30800
688	88733	30651
689	88840	30514
690	88946	30378
691	89045	30239
692	89125	30094
693	89236	29959
694	89340	29823
695	89460	29691
696	89568	29556
697	89637	29408
698	89706	29260
699	89772	29111
700	89849	28967
701	89962	28834
702	90095	28707
703	90237	28583
704	90347	28449
705	90436	28309
706	90713	28227
707	90822	28093
708	90954	27966
709	91069	27833
710	91173	27698
711	91249	27554
712	91342	27415
713	91412	27270
714	91502	27130
715	91567	26984
716	91644	26841
717	91747	26706
718	91837	26567
719	91935	26431
720	92007	26287
721	92113	26154
722	92210	26017
723	92305	25881
724	92403	25745
725	92497	25608
726	92591	25472
727	92678	25333
728	92789	25202
729	92868	25061
730	92952	24922
731	93039	24785
732	93126	24647
733	93212	24509
734	93323	24378
735	93409	24240
736	93488	24101
737	93591	23968
738	93674	23830
739	93784	23699
740	93904	23571
741	94018	23441
742	94122	23309
743	94220	23175
744	94337	23046
745	94458	22918
746	94599	22795
747	94697	22661
748	94846	22540
749	95033	22427
750	95153	22299
751	95305	22178
752	95443	22054
753	95586	21931
754	95713	21804
755	95808	21671
756	95927	21542
757	96024	21409
758	96148	21281
759	96291	21158
760	96418	21032
761	96540	20904
762	96657	20775
763	96777	20647
764	96908	20521
765	97006	20389
766	97165	20269
767	97272	20138
768	97433	20018
769	97586	19897
770	97685	19765
771	97778	19631
772	97915	19507
773	98015	19375
774	98112	19242
775	98237	19115
776	98335	18983
777	98491	18862
778	98650	18742
779	98770	18614
780	98906	18489
781	99025	18361
782	99159	18236
783	99339	18119
784	99465	17992
785	99594	17866
786	99738	17742
787	99865	17615
788	99967	17484
789	100145	17366
790	100292	17243
791	100462	17124
792	100589	16997
793	100688	16865
794	100812	16738
795	100969	16616
796	101131	16495
797	101235	16365
798	101344	16235
799	101453	16105
800	101552	15974
801	101693	15849
802	101811	15721
803	101933	15594
804	102054	15466
805	102152	15335
806	102299	15211
807	102406	15082
808	102531	14955
809	102659	14828
810	102781	14701
811	102875	14569
812	102994	14441
813	103157	14320
814	103326	14199
815	103445	14071
816	103565	13943
817	103713	13820
818	103850	13694
819	103938	13562
820	104029	13431
821	104180	13307
822	104306	13180
823	104456	13057
824	104561	12927
825	104675	12799
826	104792	12671
827	104906	12543
828	105018	12414
829	105146	12288
830	105264	12160
831	105363	12030
832	105520	11907
833	105665	11782
834	105760	11652
835	105873	11524
836	105965	11394
837	106070	11265
838	106213	11140
839	106312	11010
840	106458	10886
841	106571	10758
842	106686	10630
843	106818	10504
844	106919	10375
845	107034	10248
846	107167	10122
847	107279	9994
848	107420	9869
849	107565	9744
850	107691	9617
851	107796	9489
852	107935	9363
853	108051	9236
854	108220	9113
855	108324	8984
856	108426	8856
857	108586	8732
858	108717	8606
859	108865	8481
860	108978	8353
861	109087	8225
862	109211	8099
863	109317	7971
864	109423	7843
865	109560	7717
866	109826	7600
867	110000	7476
868	110109	7349
869	110223	7221
870	110362	7095
871	110519	6970
872	110627	6842
873	110734	6715
874	110903	6590
875	111014	6463
876	111171	6338
877	111322	6212
878	111447	6085
879	111536	5957
880	111626	5828
881	111726	5700
