iter	Passed	Remaining
0	5	5677
1	9	4975
2	15	5047
3	20	5113
4	24	4969
5	30	5013
6	43	6221
7	58	7239
8	72	7992
9	78	7728
10	83	7534
11	92	7589
12	99	7521
13	104	7370
14	111	7353
15	118	7293
16	123	7117
17	135	7407
18	147	7630
19	155	7628
20	164	7663
21	171	7609
22	175	7462
23	180	7326
24	184	7181
25	191	7160
26	197	7103
27	202	7016
28	210	7033
29	219	7111
30	225	7038
31	231	6998
32	240	7036
33	249	7087
34	261	7217
35	272	7293
36	277	7232
37	286	7247
38	289	7143
39	295	7088
40	307	7190
41	316	7220
42	321	7161
43	333	7250
44	338	7193
45	343	7117
46	349	7094
47	354	7023
48	359	6973
49	363	6898
50	371	6914
51	383	6988
52	389	6954
53	397	6959
54	407	7003
55	411	6939
56	416	6882
57	420	6834
58	426	6798
59	443	6948
60	454	7000
61	471	7133
62	483	7188
63	488	7145
64	495	7125
65	506	7168
66	512	7142
67	516	7079
68	522	7044
69	531	7065
70	544	7125
71	548	7068
72	564	7162
73	581	7272
74	600	7406
75	626	7620
76	645	7738
77	662	7825
78	687	8011
79	711	8185
80	776	8805
81	789	8841
82	854	9440
83	860	9388
84	870	9371
85	886	9418
86	927	9730
87	947	9823
88	962	9856
89	976	9873
90	986	9849
91	998	9852
92	1006	9818
93	1015	9790
94	1029	9803
95	1038	9776
96	1053	9805
97	1081	9950
98	1100	10015
99	1124	10124
100	1190	10595
101	1207	10630
102	1226	10685
103	1244	10718
104	1271	10841
105	1291	10891
106	1314	10971
107	1331	10998
108	1349	11032
109	1365	11047
110	1374	11011
111	1382	10960
112	1391	10924
113	1401	10892
114	1407	10834
115	1415	10787
116	1431	10805
117	1441	10773
118	1450	10735
119	1464	10740
120	1475	10717
121	1486	10697
122	1492	10644
123	1509	10663
124	1523	10667
125	1535	10650
126	1547	10640
127	1565	10662
128	1570	10605
129	1583	10598
130	1591	10556
131	1599	10518
132	1612	10508
133	1622	10485
134	1636	10488
135	1647	10465
136	1655	10429
137	1665	10403
138	1679	10402
139	1686	10361
140	1696	10337
141	1703	10295
142	1712	10263
143	1724	10252
144	1730	10203
145	1740	10179
146	1746	10136
147	1753	10091
148	1760	10055
149	1767	10016
150	1775	9983
151	1783	9952
152	1794	9932
153	1802	9901
154	1812	9882
155	1825	9876
156	1833	9844
157	1844	9827
158	1852	9798
159	1858	9754
160	1898	9893
161	1902	9842
162	1913	9824
163	1918	9780
164	1939	9814
165	1962	9857
166	1980	9878
167	1997	9892
168	2017	9922
169	2035	9936
170	2060	9988
171	2078	10006
172	2098	10033
173	2126	10094
174	2147	10124
175	2165	10139
176	2181	10145
177	2210	10210
178	2230	10229
179	2248	10245
180	2270	10273
181	2287	10280
182	2301	10274
183	2314	10263
184	2325	10243
185	2341	10246
186	2357	10248
187	2369	10234
188	2385	10234
189	2397	10221
190	2408	10201
191	2418	10177
192	2426	10147
193	2437	10127
194	2454	10130
195	2470	10132
196	2476	10092
197	2483	10060
198	2489	10019
199	2494	9978
200	2501	9944
201	2508	9910
202	2516	9881
203	2521	9836
204	2525	9795
205	2531	9759
206	2543	9742
207	2548	9705
208	2556	9673
209	2559	9629
210	2565	9593
211	2574	9568
212	2581	9539
213	2589	9510
214	2600	9496
215	2617	9501
216	2633	9503
217	2643	9482
218	2653	9462
219	2666	9452
220	2672	9421
221	2682	9400
222	2686	9361
223	2696	9341
224	2704	9315
225	2714	9297
226	2722	9270
227	2735	9262
228	2747	9251
229	2755	9226
230	2768	9216
231	2782	9209
232	2797	9208
233	2803	9178
234	2811	9152
235	2821	9133
236	2832	9117
237	2842	9100
238	2847	9067
239	2857	9049
240	2863	9018
241	2870	8990
242	2882	8979
243	2893	8963
244	2950	9091
245	2956	9062
246	2960	9026
247	2964	8989
248	2974	8970
249	2983	8950
250	2990	8923
251	2997	8897
252	3007	8878
253	3014	8854
254	3027	8844
255	3050	8865
256	3081	8909
257	3104	8929
258	3126	8943
259	3148	8959
260	3164	8960
261	3181	8962
262	3199	8965
263	3216	8966
264	3229	8958
265	3246	8957
266	3254	8935
267	3271	8934
268	3287	8932
269	3293	8905
270	3303	8887
271	3315	8872
272	3320	8842
273	3331	8826
274	3341	8809
275	3353	8797
276	3357	8764
277	3372	8760
278	3383	8743
279	3394	8728
280	3400	8701
281	3406	8672
282	3415	8654
283	3420	8623
284	3432	8611
285	3442	8593
286	3449	8568
287	3457	8548
288	3467	8531
289	3479	8519
290	3490	8505
291	3503	8495
292	3518	8490
293	3530	8479
294	3544	8471
295	3557	8461
296	3572	8457
297	3587	8450
298	3604	8451
299	3620	8448
300	3631	8432
301	3641	8416
302	3652	8402
303	3661	8383
304	3668	8359
305	3676	8339
306	3682	8312
307	3690	8291
308	3699	8273
309	3710	8259
310	3718	8237
311	3727	8218
312	3732	8193
313	3740	8172
314	3755	8166
315	3767	8154
316	3780	8146
317	3790	8128
318	3798	8110
319	3806	8088
320	3814	8068
321	3822	8048
322	3830	8028
323	3838	8009
324	3845	7986
325	3849	7958
326	3860	7944
327	3866	7921
328	3878	7910
329	3885	7888
330	3890	7862
331	3903	7853
332	3921	7854
333	3940	7857
334	3956	7853
335	3968	7842
336	3999	7869
337	4004	7842
338	4010	7819
339	4015	7795
340	4020	7769
341	4025	7744
342	4028	7717
343	4032	7690
344	4073	7733
345	4104	7758
346	4134	7781
347	4153	7781
348	4174	7786
349	4192	7786
350	4209	7783
351	4225	7779
352	4241	7774
353	4251	7758
354	4266	7752
355	4280	7743
356	4294	7735
357	4305	7721
358	4322	7717
359	4340	7716
360	4359	7716
361	4369	7700
362	4388	7700
363	4403	7694
364	4408	7669
365	4418	7653
366	4425	7632
367	4434	7615
368	4441	7594
369	4448	7574
370	4455	7553
371	4458	7527
372	4468	7511
373	4472	7486
374	4479	7465
375	4489	7451
376	4499	7434
377	4507	7416
378	4516	7399
379	4528	7387
380	4539	7375
381	4548	7358
382	4554	7337
383	4566	7325
384	4576	7309
385	4585	7294
386	4595	7278
387	4602	7259
388	4608	7238
389	4613	7215
390	4617	7191
391	4627	7177
392	4636	7161
393	4643	7141
394	4651	7124
395	4658	7104
396	4665	7085
397	4673	7069
398	4680	7050
399	4686	7029
400	4696	7014
401	4700	6992
402	4708	6974
403	4715	6957
404	4723	6940
405	4730	6920
406	4740	6906
407	4750	6892
408	4764	6884
409	4775	6872
410	4780	6851
411	4791	6838
412	4805	6830
413	4813	6812
414	4820	6795
415	4825	6774
416	4829	6751
417	4836	6734
418	4841	6713
419	4849	6697
420	4855	6678
421	4862	6660
422	4870	6644
423	4875	6622
424	4888	6614
425	4908	6613
426	4921	6604
427	4925	6582
428	4930	6563
429	4939	6547
