iter	Logloss
0	0.6532077043
1	0.6149082717
2	0.5831347418
3	0.5530921467
4	0.5251387271
5	0.5047668372
6	0.4790010079
7	0.4545461559
8	0.4334995547
9	0.4161942977
10	0.400745882
11	0.3846265058
12	0.3726716281
13	0.3590833781
14	0.347627757
15	0.3357825253
16	0.3277942508
17	0.3186453281
18	0.3107165758
19	0.3036440631
20	0.2956372906
21	0.2885677402
22	0.2812517688
23	0.276104634
24	0.2723170872
25	0.2672217385
26	0.262773354
27	0.2589033116
28	0.2544114949
29	0.2508827508
30	0.2469220934
31	0.2436859301
32	0.2404237459
33	0.237107474
34	0.233958239
35	0.2310420415
36	0.2281874545
37	0.2257454302
38	0.2238091836
39	0.2208593145
40	0.2179389613
41	0.2157300384
42	0.2134910882
43	0.2118158607
44	0.2097794943
45	0.2082266568
46	0.2063453078
47	0.204483565
48	0.2032639274
49	0.201854237
50	0.2002107844
51	0.1986013658
52	0.1977013742
53	0.1961245617
54	0.1949260008
55	0.1936424298
56	0.1923373345
57	0.1910660387
58	0.1896865674
59	0.188794525
60	0.1873096061
61	0.1861637478
62	0.1849029371
63	0.1839623052
64	0.183080897
65	0.1818145667
66	0.1813286936
67	0.1804155744
68	0.1797577203
69	0.178630978
70	0.1777152909
71	0.1765792143
72	0.1756668943
73	0.1750494035
74	0.1741097946
75	0.1733913954
76	0.1723274785
77	0.1712770409
78	0.1702382605
79	0.1695949405
80	0.1689101811
81	0.1680354326
82	0.167422268
83	0.1668882743
84	0.1661584098
85	0.1658326687
86	0.1654064242
87	0.1649624276
88	0.1643805903
89	0.1636157968
90	0.1631618692
91	0.1626277902
92	0.1622867691
93	0.1617564409
94	0.1611940395
95	0.1606876011
96	0.1601974338
97	0.1598552192
98	0.1594462368
99	0.1589089719
100	0.15828545
101	0.1575849949
102	0.1573451165
103	0.1569890496
104	0.15642554
105	0.1560309426
106	0.1555646332
107	0.1550224666
108	0.1547072853
109	0.1541020164
110	0.1535120703
111	0.1531626845
112	0.1527333606
113	0.1523451565
114	0.1521700321
115	0.1516201296
116	0.1511741084
117	0.1507096104
118	0.1503796711
119	0.1501172242
120	0.1497453444
121	0.1492332267
122	0.1488128108
123	0.1484871443
124	0.1482389866
125	0.1479493999
126	0.1477079338
127	0.147444741
128	0.1471554847
129	0.1468290936
130	0.146541361
131	0.1460809974
132	0.1457487245
133	0.1454090566
134	0.1450123814
135	0.1448190359
136	0.1445863607
137	0.1444131116
138	0.1441568343
139	0.1438179655
140	0.1436270389
141	0.1432118016
142	0.143019543
143	0.1428009864
144	0.1425682579
145	0.1421644328
146	0.1419884239
147	0.1417416194
148	0.1414371256
149	0.1412363532
150	0.1409272562
151	0.14058144
152	0.1404390495
153	0.1401731289
154	0.1399447265
155	0.1396737445
156	0.1394766056
157	0.1392035671
158	0.1389581691
159	0.1388204457
160	0.1385774239
161	0.1384620667
162	0.1382290718
163	0.1381050515
164	0.1377567952
165	0.1375871264
166	0.1374552103
167	0.1372178786
168	0.1369633062
169	0.1366373201
170	0.1363170347
171	0.1360437084
172	0.1357824869
173	0.1356247204
174	0.1353604194
175	0.1350745942
176	0.1349011213
177	0.134823293
178	0.1345634887
179	0.1344434429
180	0.1343057835
181	0.1340371031
182	0.1338669122
183	0.1336066177
184	0.1333778637
185	0.1332058933
186	0.1330067192
187	0.1327788071
188	0.1325558284
189	0.1323370054
190	0.1320941009
191	0.1318934563
192	0.131588174
193	0.1313231591
194	0.1310322937
195	0.1308383409
196	0.1306309407
197	0.1305281996
198	0.1303558776
199	0.1302651773
200	0.1301543167
201	0.1299900289
202	0.1299262873
203	0.1298097792
204	0.1296446177
205	0.1294620663
206	0.1293547966
207	0.129266675
208	0.1289916438
209	0.1287496023
210	0.1285127288
211	0.1284071427
212	0.1282784126
213	0.1281257288
214	0.1278876619
215	0.1277234168
216	0.1273765351
217	0.1272765218
218	0.1271310092
219	0.1269918687
220	0.1268852703
221	0.1267791514
222	0.1266319445
223	0.126503353
224	0.1263944743
225	0.1262207138
226	0.126081797
227	0.1259724708
228	0.1255600679
229	0.1253279254
230	0.1253047176
231	0.1250914462
232	0.1249062948
233	0.1247631904
234	0.1244920272
235	0.1242963269
236	0.1239842463
237	0.1238654046
238	0.1236970358
239	0.1235556896
240	0.123345455
241	0.123199058
242	0.1230936317
243	0.1230388833
244	0.1229319865
245	0.1225237287
246	0.1221857018
247	0.1219723451
248	0.1218574353
249	0.121730229
250	0.1215901934
251	0.1214241795
252	0.1212931905
253	0.1212540206
254	0.1212085319
255	0.1209643913
256	0.1208393267
257	0.1208167689
258	0.120728903
259	0.1205775938
260	0.1201618663
261	0.1200307281
262	0.119901071
263	0.1197573912
264	0.1196522526
265	0.1194939853
266	0.1193952933
267	0.1193233895
268	0.1190896807
269	0.1188809059
270	0.1185763695
271	0.1184439952
272	0.1182421146
273	0.1181404817
274	0.1179655917
275	0.1178838208
276	0.1177766363
277	0.1176663191
278	0.1175071034
279	0.117397969
280	0.1172309748
281	0.1171746494
282	0.1169991946
283	0.116860459
284	0.1167515909
285	0.1166310976
286	0.1165177329
287	0.1162736243
288	0.1161583842
289	0.1159863712
290	0.1158474437
291	0.1155761207
292	0.1154130904
293	0.1151682465
294	0.1149104454
295	0.1147810227
296	0.114646592
297	0.1145756471
298	0.1144550153
299	0.114371337
300	0.1140152596
301	0.1137484332
302	0.1135732768
303	0.1134447918
304	0.1131814392
305	0.1129825102
306	0.1128743561
307	0.11268669
308	0.1125319497
309	0.1123664366
310	0.1122069972
311	0.1119583812
312	0.1116777132
313	0.1114403602
314	0.1113821808
315	0.111336447
316	0.1111315615
317	0.1107267028
318	0.1105413916
319	0.1104628387
320	0.1101236823
321	0.1100421778
322	0.1098841875
323	0.1097870725
324	0.1096437337
325	0.1095221855
326	0.1093937538
327	0.1092990257
328	0.1091393838
329	0.1090631645
330	0.1089411794
331	0.1087865137
332	0.1086380602
333	0.1085255692
334	0.1083833066
335	0.1082892604
336	0.1081385266
337	0.1079644145
338	0.1077609462
339	0.1075751235
340	0.10744975
341	0.1073888534
342	0.1072873377
343	0.1071568281
344	0.1070505068
345	0.1068716848
346	0.1068409328
347	0.1066830917
348	0.1066058175
349	0.106588971
350	0.1064524304
351	0.1061771649
352	0.1061256664
353	0.1059753908
354	0.1059480593
355	0.1058437198
356	0.1057506647
357	0.1056307041
358	0.1056066545
359	0.1054793203
360	0.1054218015
361	0.1051769896
362	0.1050631987
363	0.1049416398
364	0.1048691499
365	0.1047755087
366	0.1046681537
367	0.1044248869
368	0.1042476846
369	0.1041378362
370	0.1039442137
371	0.103715545
372	0.1034201084
373	0.1033421628
374	0.1033047831
375	0.1032659435
376	0.1032202097
377	0.1030499123
378	0.1029857657
379	0.1026383618
380	0.1024723373
381	0.1022896793
382	0.1021514125
383	0.1020379306
384	0.1018642234
385	0.1017570815
386	0.1016921997
387	0.1015939553
388	0.1015593886
389	0.1015415511
390	0.1013776683
391	0.1012111643
392	0.1010251285
393	0.100911572
394	0.1007443114
395	0.1006466956
396	0.1006154535
397	0.1004839636
398	0.1003715899
399	0.1003100646
400	0.1001857033
401	0.09995845177
402	0.09985202384
403	0.09975100896
404	0.09965792182
405	0.09952581395
406	0.09949501933
407	0.09943995129
408	0.0993410249
409	0.09919487298
410	0.09907335676
411	0.0990230198
412	0.09890126916
413	0.09887369252
414	0.09872815862
415	0.09857577319
416	0.0984248156
417	0.09828620783
418	0.09819403707
419	0.09815634829
420	0.09807725192
421	0.09799266794
422	0.09794095641
423	0.09783120395
424	0.0976695162
425	0.09762310049
426	0.09746724134
427	0.09737131982
428	0.09732275169
429	0.09724718232
430	0.09707147183
431	0.096958544
432	0.09691883066
433	0.09690545791
434	0.09676681817
435	0.09671429682
436	0.09657506037
437	0.09633232628
438	0.09624711362
439	0.09611298119
440	0.09600401724
441	0.09597837992
442	0.09590306628
443	0.09581357008
444	0.0956871736
445	0.09540018689
446	0.09538586579
447	0.09528529844
448	0.09520857827
449	0.09517233865
450	0.09506955493
451	0.09487221361
452	0.0947680127
453	0.09467466983
454	0.09449267254
455	0.09426432348
456	0.09418331977
457	0.09410581109
458	0.09400556341
459	0.09387754728
460	0.09379542473
461	0.0937023376
462	0.09358506229
463	0.09350636019
464	0.0932424215
465	0.09317324548
466	0.09306606101
467	0.09291071332
468	0.09278912251
469	0.09274716084
470	0.09267864547
471	0.09262549544
472	0.09245803236
473	0.09234711844
474	0.09214584521
475	0.0919845304
476	0.09191012249
477	0.09182805322
478	0.09163674296
479	0.09138058284
480	0.09110076734
481	0.09101797349
482	0.09091931348
483	0.0908443728
484	0.090604878
485	0.09047391028
486	0.09040821864
487	0.09033582464
488	0.09028544506
489	0.09022289681
490	0.09015381669
491	0.09009689459
492	0.08998887899
493	0.08989796559
494	0.08978105257
495	0.0896472185
496	0.08957547449
497	0.08951444999
498	0.0894797128
499	0.08932299587
500	0.0892294026
501	0.08919531007
502	0.08916271465
503	0.08909296323
504	0.08887589311
505	0.08875617235
506	0.08865720866
507	0.08859031294
508	0.08839303022
509	0.08834391866
510	0.08826931362
511	0.08804180103
512	0.08792029013
513	0.08780853442
514	0.08773683836
515	0.08764878598
516	0.08748896295
517	0.08732010932
518	0.08727506286
519	0.08723152949
520	0.0871686669
521	0.08704536054
522	0.08682079422
523	0.08680987758
524	0.08675527306
525	0.08668569746
526	0.08653970004
527	0.08644191912
528	0.08632142584
529	0.0862344923
530	0.08620631362
531	0.08608327365
532	0.08601987828
533	0.08593722295
534	0.08592666328
535	0.08591636999
536	0.08588966178
537	0.08577234918
538	0.08562040595
539	0.08553524657
540	0.08547968838
541	0.08541090662
542	0.08533835811
543	0.08529118586
544	0.08523997515
545	0.08517840721
546	0.08504633664
547	0.08493087278
548	0.0848916123
549	0.08478024019
550	0.08466656648
551	0.08457530677
552	0.08451450071
553	0.08444014608
554	0.08433252473
555	0.08423194672
556	0.08418456136
557	0.08412806015
558	0.08399402363
559	0.08393929125
560	0.08379779048
561	0.08361526575
562	0.08356617549
563	0.08344761619
564	0.08343817535
565	0.08337637299
566	0.08327083481
567	0.08317705506
568	0.08316114095
569	0.08310552416
570	0.0830024261
571	0.08292799156
572	0.08286909285
573	0.08281988005
574	0.08276991072
575	0.08270375023
576	0.08265043504
577	0.08259799893
578	0.08252260006
579	0.08239306018
580	0.08228780437
581	0.08217932525
582	0.08214667123
583	0.08214082665
584	0.08196700219
585	0.08194088003
586	0.081838725
587	0.08168234372
588	0.08159964577
589	0.08153541394
590	0.08152047482
591	0.08149503996
592	0.08142900733
593	0.08132545109
594	0.08127429898
595	0.08120646024
596	0.08109806636
597	0.08104884824
598	0.08098910774
599	0.08088194991
600	0.08071385815
601	0.08066319087
602	0.08062216689
603	0.08053826487
604	0.08047049006
605	0.08037967256
606	0.0802907038
607	0.08020023793
608	0.08018304516
609	0.08013420531
610	0.08003244453
611	0.08002089921
612	0.07998808536
613	0.07994197867
614	0.07984547642
615	0.07976111087
616	0.07974728526
617	0.07968495012
618	0.07960525172
619	0.07956384414
620	0.07946215795
621	0.07942389376
622	0.07939688187
623	0.07929446045
624	0.07922750079
625	0.07922065991
626	0.07909823263
627	0.07905924387
628	0.07894970984
629	0.07892701346
630	0.07876384991
631	0.07866678291
632	0.07857811784
633	0.07851196801
634	0.07846060811
635	0.07839479926
636	0.07827035275
637	0.07812992288
638	0.07808145065
639	0.07800242888
640	0.07794417483
641	0.07786165802
642	0.07770354521
643	0.07755912482
644	0.07749651797
645	0.07747529738
646	0.07744972932
647	0.07741094834
648	0.0772793626
649	0.07714536337
650	0.07712473949
651	0.07703468387
652	0.07703152449
653	0.0769751032
654	0.07682523248
655	0.07672756344
656	0.07659338839
657	0.07652499023
658	0.07648886782
659	0.07642267536
660	0.07639397989
661	0.07635374442
662	0.07625573441
663	0.07617420324
664	0.07613170347
665	0.07609385485
666	0.07604226054
667	0.07595120329
668	0.07586077472
669	0.07582701784
670	0.07576976542
671	0.07568119092
672	0.07565487696
673	0.07559760323
674	0.07546518102
675	0.0753424767
676	0.07524375276
677	0.07516984034
678	0.07512746843
679	0.07506307677
680	0.07493812945
681	0.07493285493
682	0.07492980744
683	0.07489795259
684	0.07477117784
685	0.07463733311
686	0.07459506775
687	0.07451460215
688	0.07448487308
689	0.07444015162
690	0.07439693259
691	0.0742463
692	0.07409962063
693	0.07406518712
694	0.07403969365
695	0.07396204645
696	0.07390441042
697	0.07385297594
698	0.07385015221
699	0.07372665938
700	0.07368943944
701	0.07357476943
702	0.07341131818
703	0.07339338484
704	0.07339051849
705	0.07332185926
706	0.07329182119
707	0.07317482293
708	0.07305731321
709	0.0730164384
710	0.07293070894
711	0.07286656769
712	0.07282322079
713	0.07277920259
714	0.07271437405
715	0.07264317347
716	0.07263751536
717	0.07263210233
718	0.07257102455
719	0.07247358461
720	0.07233310145
721	0.07228816155
722	0.07216190359
723	0.07204170334
724	0.07193626105
725	0.07184993488
726	0.07180650274
727	0.07176862749
728	0.07173229196
729	0.07165864593
730	0.07157366769
731	0.0715307257
732	0.07150692114
733	0.07150491256
734	0.0714819711
735	0.07141480899
736	0.07133976707
737	0.07126627022
738	0.07116737579
739	0.07115218093
740	0.07110961189
741	0.07100551222
742	0.07096485585
743	0.07090200925
744	0.07086757042
745	0.07083179964
746	0.07075153116
747	0.0706886739
748	0.07056504788
749	0.07047080994
750	0.07037032783
751	0.07032564366
752	0.07020240656
753	0.07015145158
754	0.07000131447
755	0.06991971938
756	0.06986983528
757	0.06978820289
758	0.06975391324
759	0.0697477703
760	0.06968919658
761	0.06963646745
762	0.06955880959
763	0.06949885065
764	0.0694821427
765	0.06945132676
766	0.06940185291
767	0.0693520221
768	0.06927898343
769	0.06927423104
770	0.06922641946
771	0.06913299134
772	0.06912826027
773	0.06910116313
774	0.06901906189
775	0.06901688815
776	0.06890833977
777	0.06886973461
778	0.06884463007
779	0.06872137166
780	0.06869918141
781	0.06861489578
782	0.0685267262
783	0.06848053959
784	0.06835908197
785	0.06832308743
786	0.06828114174
787	0.0682461062
788	0.06820221587
789	0.06817580601
790	0.0680250349
791	0.0679652571
792	0.06785950581
793	0.0677922691
794	0.06767458356
795	0.06755837915
796	0.06752325303
797	0.06746289983
798	0.06743443345
799	0.06736315296
800	0.06731888968
801	0.067260284
802	0.06721919076
803	0.06716017483
804	0.06704726832
805	0.06698404877
806	0.06691752599
807	0.0668381952
808	0.06678096942
809	0.06673941799
810	0.06667008213
811	0.06664050225
812	0.0666065589
813	0.06654849132
814	0.06651569878
815	0.06641563757
816	0.06638781585
817	0.06632761183
818	0.06625869154
819	0.0661996916
820	0.06609741936
821	0.06601611729
822	0.0659807088
823	0.06589911903
824	0.06585299636
825	0.06581686329
826	0.06577870033
827	0.06575367571
828	0.06563644303
829	0.06559135394
830	0.06549538447
831	0.06539784863
832	0.06536864169
833	0.06533850771
834	0.06528126594
835	0.06525351349
836	0.06521762017
837	0.06517564784
838	0.0651392324
839	0.06513364888
840	0.06504670468
841	0.06496825831
842	0.064904165
843	0.06485700341
844	0.06479725758
845	0.064731502
846	0.06462574005
847	0.0645687327
848	0.06453038328
849	0.06440771092
850	0.06437744908
851	0.06435093267
852	0.06434118814
853	0.06429518801
854	0.06424017325
855	0.06416750753
856	0.06413916902
857	0.06408319527
858	0.06407661545
859	0.06405758991
860	0.06399093394
861	0.06394895095
862	0.06392182185
863	0.06384494185
864	0.06377176466
865	0.06374326099
866	0.063659636
867	0.06360325201
868	0.06351866269
869	0.06348585949
870	0.06340585741
871	0.06327645073
872	0.06322364701
873	0.06320728536
874	0.06311371873
875	0.06308104339
876	0.0630464394
877	0.06301330055
878	0.0630119686
879	0.0630060441
880	0.062951365
881	0.06286349376
882	0.06277661883
883	0.06275879205
884	0.0626831694
885	0.0626477769
886	0.06259693913
887	0.06256855799
888	0.06252701189
889	0.06244206562
890	0.06239892118
891	0.06234954855
892	0.06227863035
893	0.06224354153
894	0.06217954412
895	0.06209849779
896	0.062050878
897	0.06199326329
898	0.06199201126
899	0.06194374681
900	0.06189766143
901	0.0618508941
902	0.06182396745
903	0.06179818095
904	0.06172220134
905	0.06167660079
906	0.06164448488
907	0.06158211245
908	0.06155868083
909	0.06154260689
910	0.06146726662
911	0.06140506467
912	0.06134149882
913	0.06131682582
914	0.06130358094
915	0.06124254578
916	0.06114341693
917	0.06108385225
918	0.06099310934
919	0.06096096145
920	0.06083860344
921	0.06075225063
922	0.06072530267
923	0.06068738479
924	0.06064165105
