iter	Passed	Remaining
0	39	39497
1	56	28302
2	76	25363
3	81	20326
4	86	17180
5	90	15072
6	95	13537
7	125	15611
8	139	15353
9	185	18350
10	198	17868
11	213	17605
12	229	17423
13	295	20816
14	311	20451
15	329	20239
16	354	20500
17	373	20355
18	389	20112
19	433	21248
20	449	20940
21	464	20657
22	479	20361
23	492	20042
24	543	21206
25	548	20559
26	553	19953
27	558	19392
28	563	18863
29	600	19427
30	605	18921
31	608	18415
32	613	17991
33	618	17574
34	622	17171
35	627	16804
36	638	16616
37	703	17803
38	725	17870
39	755	18128
40	785	18380
41	819	18694
42	854	19023
43	873	18968
44	891	18922
45	909	18857
46	924	18752
47	939	18635
48	953	18505
49	967	18388
50	985	18336
51	1000	18247
52	1014	18123
53	1029	18039
54	1063	18275
55	1088	18355
56	1110	18369
57	1121	18207
58	1131	18040
59	1138	17832
60	1155	17793
61	1171	17721
62	1184	17615
63	1210	17700
64	1224	17620
65	1241	17563
66	1257	17504
67	1269	17404
68	1276	17222
69	1291	17161
70	1305	17080
71	1318	16989
72	1323	16806
73	1328	16624
74	1332	16434
75	1339	16283
76	1349	16174
77	1356	16035
78	1367	15943
79	1373	15799
80	1382	15683
81	1386	15526
82	1399	15457
83	1409	15371
84	1418	15272
85	1428	15178
86	1435	15069
87	1455	15084
88	1471	15065
89	1492	15087
90	1499	14980
91	1503	14839
92	1507	14701
93	1511	14568
94	1528	14559
95	1544	14542
96	1562	14541
97	1573	14484
98	1579	14379
99	1593	14345
100	1600	14249
101	1640	14440
102	1644	14324
103	1649	14213
104	1654	14099
105	1659	13997
106	1664	13892
107	1668	13780
108	1678	13716
109	1692	13696
110	1707	13679
111	1719	13632
112	1733	13609
113	1752	13619
114	1768	13611
115	1804	13749
116	1812	13677
117	1815	13572
118	1820	13476
119	1831	13430
120	1859	13507
121	1864	13420
122	1879	13402
123	1886	13325
124	1894	13259
125	1905	13216
126	1911	13142
127	1916	13054
128	1923	12988
129	1933	12939
130	1955	12973
131	2017	13265
132	2042	13316
133	2080	13445
134	2103	13478
135	2111	13414
136	2161	13614
137	2179	13612
138	2227	13795
139	2276	13985
140	2300	14014
141	2315	13991
142	2329	13962
143	2343	13929
144	2363	13937
145	2383	13943
146	2397	13912
147	2408	13862
148	2431	13886
149	2453	13900
150	2476	13923
151	2496	13926
152	2514	13917
153	2536	13936
154	2554	13924
155	2569	13902
156	2586	13888
157	2602	13869
158	2618	13848
159	2639	13855
160	2754	14353
161	2758	14271
162	2772	14238
163	2786	14203
164	2800	14173
165	2812	14132
166	2826	14099
167	2850	14114
168	2870	14115
169	2888	14102
170	2905	14084
171	2919	14054
172	2936	14038
173	2961	14056
174	2992	14108
175	3011	14099
176	3036	14117
177	3064	14152
178	3084	14148
179	3096	14106
180	3111	14078
181	3126	14051
182	3142	14031
183	3156	13998
184	3169	13963
185	3181	13921
186	3189	13867
187	3203	13837
188	3230	13863
189	3252	13866
190	3267	13838
191	3290	13845
192	3306	13825
193	3318	13787
194	3352	13839
195	3374	13841
196	3389	13817
197	3395	13754
198	3404	13705
199	3413	13653
200	3420	13595
201	3435	13573
202	3447	13533
203	3462	13509
204	3475	13477
205	3484	13431
206	3501	13412
207	3512	13373
208	3528	13355
209	3541	13324
210	3545	13259
211	3552	13204
212	3566	13176
213	3577	13140
214	3582	13080
215	3589	13030
216	3609	13025
217	3620	12986
218	3631	12951
219	3639	12903
220	3653	12877
221	3660	12827
222	3671	12791
223	3677	12739
224	3688	12706
225	3695	12657
226	3703	12611
227	3707	12552
228	3712	12498
229	3724	12468
230	3736	12437
231	3745	12399
232	3769	12409
233	3773	12353
234	3777	12297
235	3782	12243
236	3789	12200
237	3803	12176
238	3808	12126
239	3821	12102
